origin_country_iso_code,destination_country_iso_code,scaling_factor
ESP,FIN,0.0136986301369863
ESP,FRA,0.03379828326180258
ESP,DEU,0.1107242339832869
ESP,IRL,0.0024096385542168677
ESP,ISR,0.3125
ESP,ITA,0.0027063599458728013
ESP,NLD,0.02981366459627329
ESP,NOR,0.040293040293040296
ESP,PRT,0.002136752136752137
ESP,RUS,0.01791044776119403
ESP,SAU,0.6666666666666666
ESP,SWE,0.017595307917888565
ESP,CHE,0.00792393026941363
ESP,TUR,0.1111111111111111
ESP,ARE,0.32142857142857145
ESP,GBR,0.006060606060606061
ESP,USA,0.07313432835820896
SWE,BEL,0.3103448275862069
SWE,CZE,0.04054054054054054
SWE,DNK,0.07936507936507936
SWE,FIN,0.12788906009244994
SWE,FRA,0.043478260869565216
SWE,DEU,0.06098741529525654
SWE,GRC,0.015748031496062992
SWE,HUN,0.013333333333333334
SWE,ISL,0.35294117647058826
SWE,LVA,0.044444444444444446
SWE,LUX,1
SWE,NLD,0.16556291390728478
SWE,NOR,0.10944206008583691
SWE,QAT,0.45
SWE,SRB,0.02
SWE,KOR,1
SWE,ESP,0.012396694214876033
SWE,CHE,0.09401709401709402
SWE,UKR,0.08333333333333333
SWE,GBR,0.02830188679245283
SWE,USA,0.011494252873563218
CHE,BRA,0.08823529411764706
CHE,CAN,0.25
CHE,DNK,0.005714285714285714
CHE,FIN,0.15384615384615385
CHE,FRA,0.008464328899637243
CHE,DEU,0.06453392167677882
CHE,GRC,0.03717472118959108
CHE,HKG,0.2692307692307692
CHE,ISL,0.2222222222222222
CHE,IND,0.14035087719298245
CHE,ISR,0.043478260869565216
CHE,ITA,0.06108202443280977
CHE,NLD,0.29535864978902954
CHE,PRT,0.15544041450777202
CHE,RUS,0.004545454545454545
CHE,SGP,1
CHE,ZAF,0.13793103448275862
CHE,ESP,0.009074410163339383
CHE,SWE,0.1111111111111111
CHE,THA,0.05
CHE,ARE,0.2413793103448276
CHE,GBR,0.03293010752688172
CHE,USA,0.09919028340080972
TWN,AUS,0.5
TWN,DEU,1
TWN,HKG,0.5961754780652418
TWN,IND,0.08333333333333333
TWN,IDN,1
TWN,JPN,0.21551724137931033
TWN,MAC,0.19607843137254902
TWN,MYS,0.25
TWN,NLD,0.10810810810810811
TWN,PHL,0.23036649214659685
TWN,SGP,1
TWN,KOR,0.6571428571428571
TWN,THA,0.13588850174216027
TWN,USA,1
THA,FRA,0.08928571428571429
THA,DEU,0.08955223880597014
THA,HKG,0.21485943775100402
THA,IND,0.008
THA,IDN,0.07142857142857142
THA,JPN,0.09620253164556962
THA,MYS,0.00583941605839416
THA,NLD,0.4
THA,PHL,0.008658008658008658
THA,RUS,0.012195121951219513
THA,SGP,0.1388888888888889
THA,KOR,0.017857142857142856
THA,CHE,0.03333333333333333
THA,TWN,0.25405405405405407
THA,ARE,0.020202020202020204
THA,GBR,0.009615384615384616
TUN,FRA,0.16666666666666666
TUR,FRA,0.03409090909090909
TUR,DEU,0.12994350282485875
TUR,HKG,1
TUR,IRL,0.6153846153846154
TUR,KAZ,0.875
TUR,NLD,0.17647058823529413
TUR,SAU,0.022222222222222223
TUR,ESP,0.25
TUR,CHE,0.3333333333333333
TUR,UKR,0.25
TUR,USA,1
UKR,BEL,0.16666666666666666
UKR,FRA,0.047058823529411764
UKR,DEU,0.02109704641350211
UKR,NLD,0.11764705882352941
ARE,AUS,1
ARE,AUT,0.48484848484848486
ARE,BHR,0.018779342723004695
ARE,BEL,1
ARE,BRA,0.8125
ARE,CAN,0.14545454545454545
ARE,CYP,0.25
ARE,CZE,0.041666666666666664
ARE,DNK,1
ARE,FRA,0.22424242424242424
ARE,DEU,0.6889952153110048
ARE,HKG,1
ARE,HUN,0.06666666666666667
ARE,IND,0.041935483870967745
ARE,IDN,0.25
ARE,IRL,0.15384615384615385
ARE,LUX,1
ARE,MYS,0.07462686567164178
ARE,NLD,0.6272727272727273
ARE,PHL,0.0625
ARE,POL,0.037037037037037035
ARE,PRT,0.02127659574468085
ARE,RUS,0.04487179487179487
ARE,SAU,0.13202933985330073
